Justin Kluivert,13,86,224,397,108,694,67,24,41,414,2930,1644,37,35,50,30,442
Luca Koleosho,5,33,149,240,52,416,78,33,39,299,2603,1383,37,29,22,14,313
Ibrahima Konat?,86,533,1018,80,16,1622,10,6,1,1081,5747,3590,17,0,8,5,1162
Ezri Konsa,239,971,1146,258,36,2359,34,19,6,1535,6930,3700,20,3,26,17,1669
Cheikhou Kouyat?,10,30,49,29,5,108,2,1,1,37,112,46,1,0,3,3,48
Mateo Kova?i?,33,226,1079,395,16,1689,32,20,7,1141,6091,2733,51,1,16,24,1431
Emil Krafth,48,279,241,145,10,661,6,3,2,358,1588,720,9,1,8,3,423
Mohammed Kudus,20,193,582,590,102,1311,221,124,77,904,6874,3225,62,40,80,93,936
Dejan Kulusevski,12,167,503,984,226,1623,129,54,66,1169,7680,3856,61,82,86,65,1229
Adam Lallana,5,80,268,229,44,574,13,3,9,354,1310,483,12,4,14,18,491
Tariq Lamptey,21,130,221,197,21,545,19,6,8,354,2092,1218,17,12,22,2,382
Aymeric Laporte,2,7,6,1,1,14,0,0,0,10,23,1,0,0,0,0,10
Yasser Larouci,29,101,112,56,7,262,17,10,7,137,1225,741,13,4,1,5,134
Jamaal Lascelles,101,397,437,41,20,872,3,1,1,519,2493,1461,6,0,2,4,634
Rom?o Lavia,1,2,26,2,0,30,0,0,0,22,83,40,0,0,0,0,26
Mario Lemina,130,557,980,308,51,1817,46,25,19,933,4903,2281,31,3,33,22,1203
Cl?ment Lenglet,165,514,449,59,12,1017,8,3,2,727,4422,2819,18,0,3,3,786
Bernd Leno,1275,1645,12,0,0,1657,0,0,0,1031,4482,2432,0,0,1,0,942
Jefferson Lerma,99,413,822,290,40,1513,20,11,6,735,3033,1410,17,2,26,14,893
Rico Lewis,8,119,287,220,30,620,9,4,4,380,1758,964,20,5,2,12,486
Keane Lewis-Potter,32,107,173,330,84,604,58,21,33,370,2822,1632,32,24,30,18,417
Victor Lindel?f,102,466,463,114,15,1037,1,1,0,620,3077,1621,14,0,5,3,706
Valentino Livramento,63,309,428,232,27,957,30,17,8,521,2952,1463,17,8,17,18,583
Giovani Lo Celso,13,85,292,201,19,570,14,8,3,361,1891,946,20,0,12,7,456
Tom Lockyer,108,316,242,32,18,586,6,4,2,269,1504,883,6,1,6,2,247
