,0,1,2018,2019,2020,2021,2022,2023
971,Rom??o Lavia,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/628451,,,,,2,32
972,Josh Wilson-Esbrand,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/576121,,,,,0.4,1.5
973,Ibrahima Konat??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/357119,,,,,40,38
974,Luis D??az,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/480692,,,,,65,75
975,Conor Bradley,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/624258,,,,,1,1.5
976,Malang Sarr,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/344596,,,,,8,6
977,Sa?ßl ????guez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/148928,,,,,25,
978,Lewis Hall,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/670858,,,,,,10
979,Emerson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/476344,,,,,25,20
980,Cristian Romero,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/355915,,,,,48,60
981,Rodrigo Bentancur,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/354362,,,,,28,40
982,Dejan Kulusevski,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/431755,,,,,40,50
983,Bryan Gil,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/537382,,,,,18,15
984,Pierluigi Gollini,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/244192,,,,,10,
985,Takehiro Tomiyasu,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/331560,,,,,25,25
986,Nuno Tavares,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/535955,,,,,15,18
987,Albert Sambi Lokonga,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/381967,,,,,14,15
988,Folarin Balogun,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503770,,,,,4,30
989,Karl Jakob Hein,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/493513,,,,,0.8,1.5
990,Arthur Okonkwo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503769,,,,,1.5,
991,Charlie Patino,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/581674,,,,,2,12
992,Cristiano Ronaldo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/8198,,,,,30,15
993,Jadon Sancho,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/401173,,,,,75,45
994,Rapha?Æl Varane,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/164770,,,,,48,35
995,Alejandro Garnacho,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/811779,,,,,2,25
996,?Ålvaro Carreras,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/811778,,,,,2,7
997,Harrison Ashby,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/559130,,,,,0.3,1
998,Alex Kr?≠l,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/337333,,,,,7,
999,Ajibola Alese,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/502065,,,,,0.5,1.2
1000,Kiernan Dewsbury-Hall,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/475188,,,,,8,25
1001,Patson Daka,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/365172,,,,,20,18
1002,Boubakary Soumar??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/344605,,,,,25,20
1003,Kasey McAteer,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/621193,,,,,,0.25
1004,Marc Cucurella,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/284857,,,,,28,35
1005,Enock Mwepu,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/490307,,,,,18,
1006,Jeremy Sarmiento,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/568005,,,,,3,5
1007,Evan Ferguson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/648046,,,,,0.6,30
1008,Jos?? S?≠,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/249994,,,,,18,18
1009,Hwang Hee-chan,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/292246,,,,,16,12
1010,Francisco Trinc?úo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/412669,,,,,20,15
1011,Toti Gomes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/606718,,,,,1.5,6
1012,Chiquinho,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/695454,,,,,3,2
1013,Yerson Mosquera,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/716276,,,,,3,3
1014,Bruno Guimar?úes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/520624,,,,,40,70
1015,Odsonne ??douard,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/344152,,,,,17,15
1016,Michael Olise,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/566723,,,,,22,38
1017,Remi Matthews,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/196722,,,,,0.3,0.35
1018,Pontus Jansson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/125314,,,,,7,2.5
1019,Christian N??rgaard,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/148367,,,,,14,16
1020,Bryan Mbeumo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/413039,,,,,22,35
1021,Rico Henry,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/339556,,,,,20,28
1022,Ivan Toney,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/251664,,,,,35,35
1023,Ethan Pinnock,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/442248,,,,,12,14
1024,Vitaly Janelt,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/270171,,,,,14,20
1025,Sergi Can??s,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/251845,,,,,14,9
1026,David Raya,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/262749,,,,,22,30
1027,Kristoffer Ajer,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/328658,,,,,18,16
1028,Mathias Jensen,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/319859,,,,,10,22
1029,Yoane Wissa,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/388165,,,,,12,18
1030,Mads Roerslev,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/391005,,,,,2.5,6
1031,?Ålvaro Fern?≠ndez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/453704,,,,,4,
1032,Frank Onyeka,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/421637,,,,,9,8
1033,Shandon Baptiste,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/533916,,,,,3,3
1034,Mads Bech S??rensen,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/372240,,,,,5,
1035,Saman Ghoddos,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/204294,,,,,2.5,2
1036,Charlie Goode,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/376856,,,,,0.9,0.6
1037,Josh Dasilva,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/340321,,,,,10,16
1038,Dominic Thompson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503688,,,,,0.8,
1039,Marcus Forss,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/404584,,,,,4,
1040,Mads Bidstrup,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/462832,,,,,1,
1041,Tariqe Fosu,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/249873,,,,,2,1.8
1042,Halil Derviè?oé?lu,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/465606,,,,,,2
1043,Julian Jeanvier,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/134277,,,,,0.9,
1044,Leon Bailey,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/387626,,,,,25,28
1045,Cameron Archer,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/533662,,,,,6,12
1046,Romain Perraud,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/318523,,,,,8,12
1047,Adam Armstrong,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/250426,,,,,15,10
1048,Lyanco,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/379807,,,,,5,3.5
1049,Vitaliy Mykolenko,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/404842,,,,,18,25
1050,Nathan Patterson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/424015,,,,,8,16
1051,Junior Firpo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/374139,,,,,12,10
1052,Adam Forshaw,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/121257,,,,,2,1.2
1053,Kristoffer Klaesson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/418561,,,,,2,1.8
1054,Maxwel Cornet,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/234781,,,,,15,12
1055,Nathan Collins,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/469050,,,,,10,22
1056,Wout Weghorst,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/228645,,,,,14,12
1057,Emmanuel Dennis,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/448854,,,,,14,8
1058,Juraj Kucka,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/74943,,,,,1.8,
1059,Samir Santos,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/255744,,,,,5,
1060,Hassane Kamara,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/290017,,,,,4,8
1061,Imran Louza,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/635336,,,,,9,9
1062,William Troost-Ekong,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/192875,,,,,4,2.5
1063,Cucho,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/459463,,,,,9,
1064,Edo Kayembe,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/486477,,,,,3,5
1065,Francisco Sierralta,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/371436,,,,,1.5,1.2
1066,Samuel Kalu,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/424051,,,,,3,2.5
1067,Nicolas Nkoulou,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/60577,,,,,2.5,
1068,Ashley Fletcher,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/289846,,,,,1.2,
1069,Pierre Lees-Melou,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/377393,,,,,5,
1070,Milot Rashica,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/291739,,,,,7,
1071,Mathias Normann,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/257805,,,,,10,
1072,Josh Sargent,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/393325,,,,,7,12
1073,Dimitris Giannoulis,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/295630,,,,,5,3.5
1074,Przemysè?aw Pè?acheta,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/383109,,,,,1.8,1.8
1075,Andrew Omobamidele,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/621993,,,,,1.2,6
1076,Christos Tzolis,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/451677,,,,,8,5
1077,Jon Rowe,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/672381,,,,,0.8,0.5
1078,Erling Haaland,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/418560,,,,,,180
1079,Manuel Akanji,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/284730,,,,,,38
1080,Juli?≠n ?Ålvarez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/576024,,,,,,60
1081,Rico Lewis,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/701057,,,,,,20
1082,Stefan Ortega,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/85941,,,,,,9
1083,Sergio G??mez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/366930,,,,,,13
1084,Shea Charles,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/747951,,,,,,8
1085,M?≠ximo Perrone,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/668547,,,,,,10
1086,William Saliba,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/495666,,,,,,65
1087,Jakub Kiwior,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/425918,,,,,,25
1088,Fabio Vieira,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/537598,,,,,,25
1089,Marquinhos,https://www.transfermarkt.com/xx/marktwertverlauf/spieler/668268,,,,,,12
1090,Matt Turner,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/425306,,,,,,8
1091,Casemiro,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/16306,,,,,,40
1092,Lisandro Mart??nez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/480762,,,,,,50
1093,Antony,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/602105,,,,,,60
1094,Tyrell Malacia,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/339340,,,,,,22
1095,Marcel Sabitzer,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/106987,,,,,,20
1096,Facundo Pellistri,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/676318,,,,,,6
1097,Kobbie Mainoo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/676318,,,,,,0.8
1098,Sven Botman,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/361093,,,,,,45
1099,Alexander Isak,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/349066,,,,,,70
1100,Darwin N?ß?Òez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/546543,,,,,,65
1101,Cody Gakpo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/434675,,,,,,55
1102,Stefan Bajcetic,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/864799,,,,,,13
1103,Arthur Melo,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/362842,,,,,,15
1104,Pervis Estupi?Ò?≠n,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/349599,,,,,,32
1105,Kaoru Mitoma,https://www.transfermarkt.com/xx-xx/profil/marktwertverlauf/504849,,,,,,32
1106,Levi Colwill,https://www.transfermarkt.com/xx-xx/profil/marktwertverlauf/614258,,,,,,35
1107,Julio C??sar Enciso,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/660867,,,,,,22
1108,Deniz Undav,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/339314,,,,,,10
1109,Facundo Buonanotte,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/983989,,,,,,12
1110,Jan Paul van Hecke,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/576314,,,,,,5
1111,Yasin Ayari,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/667287,,,,,,6
1112,Boubacar Kamara,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/394327,,,,,,30
1113,?Ålex Moreno,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/193098,,,,,,15
1114,Diego Carlos,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/329145,,,,,,20
1115,Jhon Dur?≠n,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/649317,,,,,,12
1116,Cl??ment Lenglet,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/182904,,,,,,10
1117,Ivan Periè≠ié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/42460,,,,,,7
1118,Pedro Porro,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/553875,,,,,,40
1119,Pape Matar Sarr,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/568693,,,,,,15
1120,Djed Spence,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/483348,,,,,,10
1121,Aaron Hickey,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/591949,,,,,,25
1122,Mikkel Damsgaard,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/540941,,,,,,13
1123,Kevin Schade,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/473050,,,,,,25
1124,Thomas Strakosha,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/222209,,,,,,3.5
1125,Jo?úo Palhinha,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/257455,,,,,,40
1126,Manor Solomon,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/396638,,,,,,18
1127,Saè≠a Lukié?,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/245056,,,,,,12
1128,Layvin Kurzawa,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/126710,,,,,,3
1129,Kevin Mbabu,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/183321,,,,,,5
1130,Cheick Doucour??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/543387,,,,,,35
1131,Kalidou Koulibaly,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/93128,,,,,,15
1132,Enzo Fern?≠ndez,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/648195,,,,,,85
1133,Jo?úo F??lix,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/462250,,,,,,50
1134,Mykhailo Mudryk,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/537860,,,,,,50
1135,Noni Madueke,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/503987,,,,,,30
1136,Denis Zakaria,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/334526,,,,,,18
1137,David Datro Fofana,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/787232,,,,,,10
1138,Matheus Nunes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/601883,,,,,,45
1139,Diego Costa,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/44779,,,,,,2
1140,Matheus Cunha,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/517894,,,,,,25
1141,Pablo Sarabia,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/74230,,,,,,14
1142,Gon??alo Guedes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/225122,,,,,,23
1143,Jo?úo Gomes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/735570,,,,,,18
1144,Boubacar Traor??,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/649020,,,,,,5
1145,Sasa Kalajdzic,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/369567,,,,,,15
1146,Connor Ronan,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/337787,,,,,,1
1147,Lucas Paquet?≠,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/444523,,,,,,45
1148,Thilo Kehrer,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/228948,,,,,,18
1149,Gianluca Scamacca,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/315867,,,,,,22
1150,Neto,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/111819,,,,,,2.5
1151,Ryan Christie,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/188077,,,,,,10
1152,Mat??as Vi?Òa,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/439072,,,,,,8
1153,Ben Pearson,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/183302,,,,,,2.2
1154,Emiliano Marcondes,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/232964,,,,,,1.5
1155,Marc Roca,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/336869,,,,,,10
1156,Tyler Adams,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/332705,,,,,,18
1157,Weston McKennie,https://www.transfermarkt.com/xx-xx/marktwertverlauf/spieler/332697,,,,,,18
